Varbl,Wattribute,PSET_CI
CCSCLPG,EFuelCoal,
CCSNGPG,EFuelGas,
DEMelcm,ConsComelec,
DEMelin,ConsIndelec,
DEMelrs,ConsReselec,
DEMeltr,ConsTraelec,
ecbmpg,GenTot,
eccdpg,GenTot,
ecclpg,EFuelCoal,
ecdspg,platts_eleOil_DST,
ecgtpg,GenTot,
echepg,GenTot,
ecngpg,EFuelGas,
ecnupg,GenTot,
ecorpg,GenTot,
ecrspg,platts_eleOil,
ecslpg,GenTot,
ecwnpg,GenTot,
ecwspg,GenTot,
EFCLU,EFuelCoal,
EFDSA,GenTot,
EFNGF,EFuelGas,
EFRSA,GenTot,
pclpg,EFuelCoal,
pdspg,GenTot,
pelcm,ConsComelec,
pelin,ConsIndelec,
pelrs,ConsReselec,
peltr,ConsTraelec,
pngpg,EFuelGas,
pnupg,GenTot,
prspg,GenTot,
qbmpg,platts_eleBio,
qcdpg,platts_eleOil_CRD,
qclpg,EFuelCoal,
qdspg,platts_eleOil_DST,
qelcm,ConsComelec,DEMelcm
qelin,ConsIndelec,DEMelin
qelrs,ConsReselec,DEMelrs
qeltr,ConsTraelec,DEMeltr
qgtpg,platts_eleGeo,
qhepg,platts_eleHyd,
qhtcm,ConsComheat,
qhtin,ConsIndheat,
qhtrs,ConsResheat,
qngpg,EFuelGas,
qnupg,platts_eleNuc,
qorpg,GenTot,
qrspg,platts_eleOil,
qslpg,platts_eleSol,
qwnpg,platts_eleWin,
qwspg,platts_eleWas,
shucpbm/1,platts_eleBio,ELCBIO
shucpbm/2,platts_chpBio,ELCBIO
shucpcd/1,platts_eleOil_CRD,ELCOIL_CRD
shucpcd/2,platts_chpOil_Crd,ELCOIL_CRD
shucpcl/1,platts_eleCoa,ELCCOA
shucpcl/2,platts_chpCoa,ELCCOA
shucpds/1,platts_eleOil_DST,ELCOIL_DST
shucpds/2,platts_chpOil_Dst,ELCOIL_DST
shucpgt/1,platts_eleGeo,ELCGEO
shucpgt/2,platts_chpGeo,ELCGEO
shucphe/1,platts_eleHyd,ELCHYD
shucphe/2,platts_chpHyd,ELCHYD
shucpng/1,platts_eleGas,ELCGAS
shucpng/2,platts_chpGas,ELCGAS
shucpnu/1,platts_eleNuc,ELCNUC
shucpnu/2,platts_chpNuc,ELCNUC
shucpor/1,GenTot,
shucpor/2,GenTot,
shucprs/1,platts_eleOil,ELCOIL
shucprs/2,platts_chpOil,ELCOIL
shucpsl/1,platts_eleSol,ELCSOL
shucpsl/2,platts_chpSol,ELCSOL
shucpwn/1,platts_eleWin,ELCWIN
shucpwn/2,platts_chpWin,ELCWIN
shucpws/1,platts_eleWas,ELCWAS
shucpws/2,platts_chpWas,ELCWAS
shugnbm/1,platts_eleBio,ELCBIO
shugnbm/2,platts_chpBio,ELCBIO
shugncd/1,platts_eleOil_CRD,ELCOIL_CRD
shugncd/2,platts_chpOil_Crd,ELCOIL_CRD
shugncl/1,platts_eleCoa,ELCCOA
shugncl/2,platts_chpCoa,ELCCOA
shugnds/1,platts_eleOil_DST,ELCOIL_DST
shugnds/2,platts_chpOil_Dst,ELCOIL_DST
shugngt/1,platts_eleGeo,ELCGEO
shugngt/2,platts_chpGeo,ELCGEO
shugnhe/1,platts_eleHyd,ELCHYD
shugnhe/2,platts_chpHyd,ELCHYD
shugnng/1,platts_eleGas,ELCGAS
shugnng/2,platts_chpGas,ELCGAS
shugnnu/1,platts_eleNuc,ELCNUC
shugnnu/2,platts_chpNuc,ELCNUC
shugnor/1,GenTot,
shugnor/2,GenTot,
shugnrs/1,platts_eleOil,ELCOIL
shugnrs/2,platts_chpOil,ELCOIL
shugnsl/1,platts_eleSol,ELCSOL
shugnsl/2,platts_chpSol,ELCSOL
shugnwn/1,platts_eleWin,ELCWIN
shugnwn/2,platts_chpWin,ELCWIN
shugnws/1,platts_eleWas,ELCWAS
shugnws/2,platts_chpWas,ELCWAS
sucnbm,platts_eleBio,
sucnbm-1,platts_eleBio,
sucnbm-2,platts_chpBio,
sucnbm-3,platts_eleBio,
sucncd,platts_eleOil_CRD,
sucncl,EFuelCoal,
sucncl-1,platts_eleCoa,
sucncl-2,platts_chpCoa,
sucncl-3,EFuelCoal,
sucnds,platts_eleOil_DST,
sucnds-1,platts_eleOil_DST,
sucnds-2,platts_chpOil_Dst,
sucnds-3,platts_eleOil_DST,
sucngt,platts_eleGeo,
sucnhe,platts_eleHyd,
sucnng,EFuelGas,
sucnng-1,platts_eleGas,
sucnng-2,platts_chpGas,
sucnng-3,EFuelGas,
sucnnu,platts_eleNuc,
sucnrs,platts_eleOil,
sucnrs-1,platts_eleOil,
sucnrs-2,platts_chpOil,
sucnrs-3,platts_eleOil,
sucnsl,platts_eleSol,
sucnwn,platts_eleWin,
sucnws,platts_eleWas,
sucpbm/1,platts_eleBio,ELCBIO
sucpbm_new,platts_eleBio,
sucpbm-1,platts_eleBio,
sucpbm-2,platts_chpBio,
sucpbm-3,platts_eleBio,
sucpcd,platts_eleOil_CRD,
sucpcd/1,platts_eleOil_CRD,ELCOIL_CRD
sucpcd_new,platts_eleOil_CRD,ELCOIL_CRD
sucpcl/1,platts_eleCoa,ELCCOA
sucpcl_new,platts_eleCoa,ELCCOA
sucpcl_new-1,platts_eleCoa,
sucpcl_new-2,platts_chpCoa,
sucpcl_new-3,platts_eleCoa,
sucpcl-1,platts_eleCoa,
sucpcl-2,platts_chpCoa,
sucpcl-3,platts_eleCoa,
sucpds/1,platts_eleOil_DST,ELCOIL_DST
sucpds_new,platts_eleOil_DST,ELCOIL_DST
sucpds_new-2,platts_chpOil_Dst,
sucpds_new-3,platts_eleOil_DST,
sucpds-1,platts_eleOil_DST,
sucpds-2,platts_chpOil_Dst,
sucpds-3,platts_eleOil_DST,
sucpgt,platts_eleGeo,
sucpgt/1,platts_eleGeo,ELCGEO
sucpgt_new,platts_eleGeo,
sucphe,platts_eleHyd,
sucphe/1,platts_eleHyd,ELCHYD
sucphe_new,platts_eleHyd,ELCHYD
sucpng/1,platts_eleGas,ELCGAS
sucpng_new,platts_eleGas,ELCGAS
sucpng_new-1,platts_eleGas,
sucpng_new-2,platts_chpGas,
sucpng_new-3,platts_eleGas,
sucpng-1,platts_eleGas,
sucpng-2,platts_chpGas,
sucpng-3,platts_eleGas,
sucpnu,platts_eleNuc,
sucpnu/1,platts_eleNuc,ELCNUC
sucpnu_new,platts_eleNuc,ELCNUC
sucpor/1,GenTot,
sucpor_new,GenTot,
sucprs/1,platts_eleOil,ELCOIL
sucprs_new,platts_eleOil,ELCOIL
sucprs_new-2,platts_chpOil,
sucprs_new-3,platts_eleOil,
sucprs-1,platts_eleOil,
sucprs-2,platts_chpOil,
sucprs-3,platts_eleOil,
sucpsl,platts_eleSol,
sucpsl/1,platts_eleSol,ELCSOL
sucpsl_new,platts_eleSol,ELCSOL
sucpwn,platts_eleWin,
sucpwn/1,platts_eleWin,ELCWIN
sucpwn_new,platts_eleWin,ELCWIN
sucpws,platts_eleWas,
sucpws/1,platts_eleWas,ELCWAS
sucpws_new,platts_eleWas,ELCWAS
sugnbm/1,platts_eleBio,ELCBIO
sugnbm-1,platts_eleBio,
sugnbm-2,platts_chpBio,
sugnbm-3,platts_chpBio,
sugncd,platts_eleOil_CRD,
sugncd/1,platts_eleOil_CRD,ELCOIL_CRD
sugncl/1,platts_eleCoa,ELCCOA
sugncl-1,platts_eleCoa,
sugncl-2,platts_chpCoa,
sugncl-3,platts_chpCoa,
sugnds/1,platts_eleOil_DST,ELCOIL_DST
sugnds-1,platts_eleOil_DST,
sugnds-2,platts_chpOil_Dst,
sugnds-3,platts_chpOil_DST,
sugngt,platts_eleGeo,
sugngt/1,platts_eleGeo,ELCGEO
sugnhe,platts_eleHyd,
sugnhe/1,platts_eleHyd,ELCHYD
sugnng/1,platts_eleGas,ELCGAS
sugnng-1,platts_eleGas,
sugnng-2,platts_chpGas,
sugnng-3,platts_chpGas,
sugnnu,platts_eleNuc,
sugnnu/1,platts_eleNuc,ELCNUC
sugnor/1,GenTot,
sugnrs/1,platts_eleOil,ELCOIL
sugnrs-1,platts_eleOil,
sugnrs-2,platts_chpOil,
sugnrs-3,platts_chpOil,
sugnsl,platts_eleSol,
sugnsl/1,platts_eleSol,ELCSOL
sugnwn,platts_eleWin,
sugnwn/1,platts_eleWin,ELCWIN
sugnws,platts_eleWas,
sugnws/1,platts_eleWas,ELCWAS
TrnEff__DEN,GenTot,
TrnEff__NUM,GenTot,
VAR,GenTot,
VARX,GenTot,
FIX,GenTot,
INV,GenTot,
sucncd/3,platts_eleOil_CRD,
sucngt/3,platts_eleGeo,
sucnhe/3,platts_eleHyd,
sucnnu/3,platts_eleNuc,
sucnsl/3,platts_eleSol,
sucnwn/3,platts_eleWin,
sucnws/3,platts_eleWas,
htv_qhtcm_chp,ConsComheat,DEMhtcm
htv_qhtrs_chp,ConsResheat,DEMhtrs
htv_sec_qhtin_chp,ConsIndheat,DEMhtin
sugnstorage_charge_BATTERY,GenTot,
sugnstorage_discharge_BATTERY,GenTot,
sucpstorage_BATTERY,GenTot,
sugnstorage_charge_PUMPED_HYDRO,GenTot,
sugnstorage_discharge_PUMPED_HYDRO,GenTot,
sucpstorage_PUMPED_HYDRO,GenTot,
shugnbm-3,platts_chpBio,"ELCBIO,ELCWAS"
shugncl-3,platts_chpCoa,ELCCOA*
shugnds-3,platts_chpOil_DST,ELCOIL_DST
shugnng-3,platts_chpGas,ELCGAS
shugnrs-3,platts_chpOil,ELCOIL
shucnbm,platts_eleBio,
shucnbm-1,platts_eleBio,
shucnbm-2,platts_chpBio,
shucnbm-3,platts_eleBio,
shucncd,platts_eleOil_CRD,
shucncl,EFuelCoal,
shucncl-1,platts_eleCoa,
shucncl-2,platts_chpCoa,
shucncl-3,EFuelCoal,
shucnds,platts_eleOil_DST,
shucnds-1,platts_eleOil_DST,
shucnds-2,platts_chpOil_Dst,
shucnds-3,platts_eleOil_DST,
shucngt,platts_eleGeo,
shucnhe,platts_eleHyd,
shucnng,EFuelGas,
shucnng-1,platts_eleGas,
shucnng-2,platts_chpGas,
shucnng-3,EFuelGas,
shucnnu,platts_eleNuc,
shucnrs,platts_eleOil,
shucnrs-1,platts_eleOil,
shucnrs-2,platts_chpOil,
shucnrs-3,platts_eleOil,
shucnsl,platts_eleSol,
shucnwn,platts_eleWin,
shucnws,platts_eleWas,
shucncd/3,platts_eleOil_CRD,
shucngt/3,platts_eleGeo,
shucnhe/3,platts_eleHyd,
shucnnu/3,platts_eleNuc,
shucnsl/3,platts_eleSol,
shucnwn/3,platts_eleWin,
shucnws/3,platts_eleWas,
sucn_tech-N-CTg,EFuelGas,
sucn_tech-N-CCg,EFuelGas,
sucn_tech-E-CTg,EFuelGas,
sucn_tech-E-CCg,EFuelGas,
sucn_tech-E-STg,EFuelGas,
sucn_tech-N-CTc,EFuelCoal,
sucn_tech-N-CCc,EFuelCoal,
sucn_tech-E-CTc,EFuelCoal,
sucn_tech-E-CCc,EFuelCoal,
sucn_tech-E-STc,EFuelCoal,
sucp_tech-N-CTg,platts_eleGas,
sucp_tech-N-CCg,platts_eleGas,
sucp_tech-E-CTg,platts_eleGas,
sucp_tech-E-CCg,platts_eleGas,
sucp_tech-E-STg,platts_eleGas,
sucp_tech-N-CTc,platts_eleCoa,
sucp_tech-N-CCc,platts_eleCoa,
sucp_tech-E-CTc,platts_eleCoa,
sucp_tech-E-CCc,platts_eleCoa,
sucp_tech-E-STc,platts_eleCoa,
sucp_tech_new-N-CTg,platts_eleGas,
sucp_tech_new-N-CCg,platts_eleGas,
sucp_tech_new-E-CTg,platts_eleGas,
sucp_tech_new-E-CCg,platts_eleGas,
sucp_tech_new-E-STg,platts_eleGas,
sucp_tech_new-N-CTc,platts_eleCoa,
sucp_tech_new-N-CCc,platts_eleCoa,
sucp_tech_new-E-CTc,platts_eleCoa,
sucp_tech_new-E-CCc,platts_eleCoa,
sucp_tech_new-E-STc,platts_eleCoa,
sugn_tech-N-CTg,platts_eleGas,
sugn_tech-N-CCg,platts_eleGas,
sugn_tech-E-CTg,platts_eleGas,
sugn_tech-E-CCg,platts_eleGas,
sugn_tech-E-STg,platts_eleGas,
sugn_tech-N-CTc,platts_eleCoa,
sugn_tech-N-CCc,platts_eleCoa,
sugn_tech-E-CTc,platts_eleCoa,
sugn_tech-E-CCc,platts_eleCoa,
sugn_tech-E-STc,platts_eleCoa,
sucnnu-1,platts_eleNuc,
sucncd-1,platts_eleOil_CRD,
sucngt-1,platts_eleGeo,
sucnws-1,platts_eleWas,
sucpnu-1,platts_eleNuc,
sucpcd-1,platts_eleOil_CRD,
sucpgt-1,platts_eleGeo,
sucpws-1,platts_eleWas,
sugnnu-1,platts_eleNuc,
sugncd-1,platts_eleOil_CRD,
sugngt-1,platts_eleGeo,
sugnws-1,platts_eleWas,
sucpds_new-1,platts_eleOil_DST,
sucprs_new-1,platts_eleOil,
sucnnu-2,platts_chpNuc,
sucncd-2,platts_chpOil_Crd,
sucngt-2,platts_chpGeo,
sucnws-2,platts_chpWas,
sucnnu-3,platts_eleNuc,
sucncd-3,platts_eleOil_CRD,
sucngt-3,platts_eleGeo,
sucnws-3,platts_eleWas,
sucpnu-2,platts_chpNuc,
sucpcd-2,platts_chpOil_Crd,
sucpgt-2,platts_chpGeo,
sucpws-2,platts_chpWas,
sugnnu-2,platts_chpNuc,
sugncd-2,platts_chpOil_Crd,
sugngt-2,platts_chpGeo,
sugnws-2,platts_chpWas,
sucpnu-3,platts_eleNuc,
sucpcd-3,platts_eleOil_CRD,
sucpgt-3,platts_eleGeo,
sucpws-3,platts_eleWas,
sugnnu-3,platts_eleNuc,
sugncd-3,platts_eleOil_CRD,
sugngt-3,platts_eleGeo,
sugnws-3,platts_eleWas,
sucn_tech-N-CSc,platts_eleCoa,
sucn_tech-N-STc,platts_eleCoa,
sucp_tech-N-CSc,platts_eleCoa,
sucp_tech-N-STc,platts_eleCoa,
sugn_tech-N-CSc,platts_eleCoa,
sugn_tech-N-STc,platts_eleCoa,
sucp_tech_new-N-CSc,platts_eleCoa,
sucp_tech_new-N-STc,platts_eleCoa,
